animal_id,intake_date_time,intake_type,animal_type,age,gender,outcome_date_time,days_in_shelter,outcome_month,outcome_year,age_group,breed,is_mix_breed,colour,is_multicolour,is_black,is_white,is_brown,is_yellow,is_gray,outcome_type
64036,2019-07-19 13:13:00,litter relinquishment,cat,3,female,2019-09-07,49,9,2019,adolescent,domestic short hair,no,black,no,yes,no,no,no,no,adoption
64037,2019-07-19 13:13:00,litter relinquishment,cat,3,male,2019-08-17,28,8,2019,adolescent,domestic short hair,no,black,no,yes,no,no,no,no,adoption
64038,2019-07-19 13:13:00,litter relinquishment,cat,2,male,2019-08-17,28,8,2019,adolescent,domestic short hair,no,black,no,yes,no,no,no,no,adoption
64040,2019-07-19 13:36:00,incompatible with owner lifestyle,cat,3,female,2019-07-28,8,7,2019,adolescent,domestic short hair,no,lilac point,yes,no,no,no,no,yes,adoption
64041,2019-07-19 13:36:00,incompatible with owner lifestyle,cat,2,male,2019-07-28,8,7,2019,adolescent,domestic short hair,no,orange,no,no,no,no,no,no,adoption
64042,2019-07-19 13:36:00,incompatible with owner lifestyle,cat,2,female,2019-07-26,6,7,2019,adolescent,domestic short hair,no,torbie,yes,no,no,no,no,no,adoption
64043,2019-07-19 13:57:00,stray,cat,0,male,2019-07-26,6,7,2019,puppy/kitten,domestic short hair,no,black and white,no,yes,yes,no,no,no,foster
64044,2019-07-19 14:56:00,moving,dog,4,female,2019-08-07,18,8,2019,adulthood,bully breed,yes,brindle,yes,no,no,no,no,no,adoption
64045,2019-07-19 15:03:00,litter relinquishment,dog,2,female,2019-07-23,3,7,2019,adolescent,catahoula leopard dog,yes,tan,no,no,no,no,yes,no,adoption
64046,2019-07-19 15:03:00,litter relinquishment,dog,2,female,2019-07-23,3,7,2019,adolescent,catahoula leopard dog,yes,tan,no,no,no,no,yes,no,adoption
64047,2019-07-19 15:03:00,litter relinquishment,dog,2,male,2019-07-23,3,7,2019,adolescent,catahoula leopard dog,yes,brindle,yes,no,no,no,no,no,adoption
64048,2019-07-19 15:03:00,litter relinquishment,dog,2,male,2019-07-23,3,7,2019,adolescent,catahoula leopard dog,yes,brindle,yes,no,no,no,no,no,adoption
64049,2019-07-19 15:11:00,stray,cat,2,female,2019-08-17,28,8,2019,adolescent,domestic short hair,no,grey,no,no,no,no,no,no,adoption
64053,2019-07-20 13:11:00,allergies,cat,10,male,2019-12-13,145,12,2019,senior,domestic short hair,no,grey and white,no,no,yes,no,no,no,adoption
64054,2019-07-20 13:15:00,allergies,cat,11,female,2019-08-17,27,8,2019,super senior,domestic short hair,no,torbie,yes,no,no,no,no,no,adoption
64055,2019-07-20 13:51:00,allergies,cat,3,male,2019-07-24,3,7,2019,adolescent,domestic short hair,no,orange,no,no,no,no,no,no,adoption
64056,2019-07-20 16:23:00,unable to afford,cat,2,male,2019-09-10,51,9,2019,adolescent,domestic short hair,no,brown and black,no,yes,no,yes,no,no,adoption
64057,2019-07-20 16:23:00,unable to afford,cat,3,female,2019-09-06,47,9,2019,adolescent,domestic short hair,no,grey,no,no,no,no,no,no,adoption
64058,2019-07-20 16:34:00,stray,cat,2,male,2019-08-17,27,8,2019,adolescent,domestic short hair,no,orange,no,no,no,no,no,no,adoption
64059,2019-07-20 20:45:00,sick/injured,cat,2,female,2019-09-26,67,9,2019,adolescent,domestic short hair,no,black,no,yes,no,no,no,no,adoption
64060,2019-07-20 21:37:00,police assist,dog,5,male,2019-07-21,0,7,2019,adulthood,bully breed,yes,liver and white,no,no,yes,yes,no,no,reclaimed
64065,2019-07-22 12:07:00,stray,cat,3,male,2019-08-13,21,8,2019,adolescent,domestic short hair,no,orange,no,no,no,no,no,no,adoption
64066,2019-07-22 12:07:00,stray,cat,3,male,2019-08-13,21,8,2019,adolescent,domestic short hair,no,"brown, black and white",no,yes,yes,yes,no,no,adoption
64067,2019-07-22 12:30:00,stray,cat,3,female,2019-08-05,13,8,2019,adolescent,domestic medium hair,no,tortoiseshell,no,no,no,no,no,no,adoption
64069,2019-07-22 13:34:00,stray,cat,3,male,2019-08-08,16,8,2019,adolescent,domestic short hair,no,"brown, black and white",no,yes,yes,yes,no,no,adoption
